countyname,fipscounty,neighborname,fipsneighbor,county,state,neighbor_county,neighbor_state,count,distance_(mi)
"Hartley County, TX",48205,"Hartley County, TX",48205,Hartley County,TX,Hartley County,TX,1,0.0
"Haskell County, TX",48207,"Haskell County, TX",48207,Haskell County,TX,Haskell County,TX,1,0.0
"Hays County, TX",48209,"Hays County, TX",48209,Hays County,TX,Hays County,TX,1,0.0
"Hemphill County, TX",48211,"Hemphill County, TX",48211,Hemphill County,TX,Hemphill County,TX,1,0.0
"Henderson County, TX",48213,"Henderson County, TX",48213,Henderson County,TX,Henderson County,TX,1,0.0
"Hidalgo County, TX",48215,"Hidalgo County, TX",48215,Hidalgo County,TX,Hidalgo County,TX,1,0.0
"Hill County, TX",48217,"Hill County, TX",48217,Hill County,TX,Hill County,TX,1,0.0
"Hockley County, TX",48219,"Hockley County, TX",48219,Hockley County,TX,Hockley County,TX,1,0.0
"Hood County, TX",48221,"Hood County, TX",48221,Hood County,TX,Hood County,TX,1,0.0
"Hopkins County, TX",48223,"Hopkins County, TX",48223,Hopkins County,TX,Hopkins County,TX,1,0.0
"Houston County, TX",48225,"Houston County, TX",48225,Houston County,TX,Houston County,TX,1,0.0
"Howard County, TX",48227,"Howard County, TX",48227,Howard County,TX,Howard County,TX,1,0.0
"Hudspeth County, TX",48229,"Hudspeth County, TX",48229,Hudspeth County,TX,Hudspeth County,TX,1,0.0
"Hunt County, TX",48231,"Hunt County, TX",48231,Hunt County,TX,Hunt County,TX,1,0.0
"Hutchinson County, TX",48233,"Hutchinson County, TX",48233,Hutchinson County,TX,Hutchinson County,TX,1,0.0
"Irion County, TX",48235,"Irion County, TX",48235,Irion County,TX,Irion County,TX,1,0.0
"Jack County, TX",48237,"Jack County, TX",48237,Jack County,TX,Jack County,TX,1,0.0
"Jackson County, TX",48239,"Jackson County, TX",48239,Jackson County,TX,Jackson County,TX,1,0.0
"Jasper County, TX",48241,"Jasper County, TX",48241,Jasper County,TX,Jasper County,TX,1,0.0
"Jeff Davis County, TX",48243,"Jeff Davis County, TX",48243,Jeff Davis County,TX,Jeff Davis County,TX,1,0.0
"Jefferson County, TX",48245,"Jefferson County, TX",48245,Jefferson County,TX,Jefferson County,TX,1,0.0
"Jim Hogg County, TX",48247,"Jim Hogg County, TX",48247,Jim Hogg County,TX,Jim Hogg County,TX,1,0.0
"Jim Wells County, TX",48249,"Jim Wells County, TX",48249,Jim Wells County,TX,Jim Wells County,TX,1,0.0
"Johnson County, TX",48251,"Johnson County, TX",48251,Johnson County,TX,Johnson County,TX,1,0.0
"Jones County, TX",48253,"Jones County, TX",48253,Jones County,TX,Jones County,TX,1,0.0
"Karnes County, TX",48255,"Karnes County, TX",48255,Karnes County,TX,Karnes County,TX,1,0.0
"Kaufman County, TX",48257,"Kaufman County, TX",48257,Kaufman County,TX,Kaufman County,TX,1,0.0
"Kendall County, TX",48259,"Kendall County, TX",48259,Kendall County,TX,Kendall County,TX,1,0.0
"Kenedy County, TX",48261,"Kenedy County, TX",48261,Kenedy County,TX,Kenedy County,TX,1,0.0
"Kent County, TX",48263,"Kent County, TX",48263,Kent County,TX,Kent County,TX,1,0.0
"Kerr County, TX",48265,"Kerr County, TX",48265,Kerr County,TX,Kerr County,TX,1,0.0
"Kimble County, TX",48267,"Kimble County, TX",48267,Kimble County,TX,Kimble County,TX,1,0.0
"King County, TX",48269,"King County, TX",48269,King County,TX,King County,TX,1,0.0
"Kinney County, TX",48271,"Kinney County, TX",48271,Kinney County,TX,Kinney County,TX,1,0.0
"Kleberg County, TX",48273,"Kleberg County, TX",48273,Kleberg County,TX,Kleberg County,TX,1,0.0
"Knox County, TX",48275,"Knox County, TX",48275,Knox County,TX,Knox County,TX,1,0.0
"Lamar County, TX",48277,"Lamar County, TX",48277,Lamar County,TX,Lamar County,TX,1,0.0
