PHEV,BEV
2.0,3.0
3.0,27.0
14.0,60.0
65.0,282.0
221.0,324.0
86.0,91.0
1.0,13.0
13.0,43.0
57.0,201.0
18.0,113.0
867.0,1934.0
13.0,25.0
684.0,1673.0
13.0,13.0
1346.0,5297.0
14.0,28.0
14.0,1.0
1643.0,4937.0
352.0,712.0
38.0,91.0
1.0,36.0
26.0,28.0
43.0,48.0
1796.0,4568.0
1284.0,3801.0
138.0,207.0
1738.0,3394.0
12.0,49.0
11.0,42.0
94.0,279.0
12.0,43.0
38.0,67.0
23.0,105.0
1445.0,3403.0
124.0,178.0
982.0,1955.0
115.0,294.0
49.0,67.0
41.0,18.0
26.0,24.0
39.0,18.0
54.0,82.0
205.0,253.0
13.0,13.0
98.0,101.0
4.0,12.0
25.0,33.0
121.0,307.0
48.0,53.0
774.0,1340.0
165.0,57.0
53.0,16.0
175.0,96.0
350.0,63.0
46.0,1.0
294.0,160.0
557.0,149.0
863.0,470.0
500.0,760.0
153.0,38.0
147.0,79.0
32.0,19.0
996.0,82.0
57.0,5.0
83.0,15.0
178.0,70.0
104.0,45.0
164.0,44.0
51.0,29.0
48.0,32.0
1660.0,465.0
5.0,20.0
84.0,16.0
146.0,57.0
49.0,6.0
21.0,4.0
701.0,641.0
207.0,170.0
93.0,47.0
16.0,13.0
16.0,21.0
67.0,19.0
46.0,19.0
57.0,17.0
191.0,61.0
376.0,94.0
16.0,17.0
17.0,11.0
237.0,165.0
63.0,26.0
668.0,162.0
988.0,551.0
201.0,446.0
135.0,11.0
85.0,18.0
170.0,84.0
191.0,18.0
16.0,32.0
629.0,128.0
59.0,64.0
107.0,33.0
204.0,125.0
110.0,9.0
90.0,34.0
27.0,15.0
1913.0,578.0
12.0,34.0
12.0,28.0
49.0,62.0
137.0,4.0
32.0,15.0
17.0,38.0
452.0,855.0
362.0,148.0
146.0,70.0
30.0,17.0
33.0,23.0
42.0,6.0
121.0,11.0
8.0,11.0
258.0,164.0
676.0,281.0
12.0,32.0
7.0,42.0
348.0,369.0
970.0,318.0
1170.0,1147.0
223.0,763.0
160.0,38.0
127.0,42.0
250.0,132.0
107.0,19.0
115.0,57.0
59.0,18.0
48.0,16.0
900.0,225.0
55.0,57.0
150.0,101.0
258.0,188.0
308.0,77.0
159.0,28.0
16.0,18.0
37.0,19.0
2451.0,729.0
34.0,36.0
109.0,116.0
105.0,52.0
104.0,30.0
